Postal Code,Population (2021)
T6T,"48,823"
T6V,"23,107"
T6W,"83,496"
T6X,"50,392"
T6Y,232
T7A,"11,412"
T7E,"13,720"
T7N,"7,176"
T7P,"7,183"
T7S,"11,873"
T7V,"10,315"
T7X,"47,506"
T7Y,"17,057"
T7Z,"18,929"
T8A,"42,146"
T8B,"7,075"
T8C,"4,406"
T8E,"8,247"
T8G,"4,784"
T8H,"31,062"
T8L,"29,258"
T8N,"68,213"
T8R,"15,960"
T8S,"7,930"
T8T,"7,283"
T8V,"31,632"
T8W,"21,556"
T8X,"24,187"
T9A,"15,093"
T9C,"6,656"
T9E,"34,385"
T9G,"6,969"
T9H,"26,075"
T9J,"3,776"
T9K,"40,909"
T9M,"18,238"
T9N,"9,439"
T9S,"6,360"
T9V,"20,751"
T9W,"8,091"
T9X,"5,403"
V0A,"16,077"
V0B,"36,123"
V0C,"26,463"
V0E,"72,013"
V0G,"26,940"
V0H,"58,479"
V0J,"51,918"
V0K,"33,615"
V0L,"4,849"
V0M,"12,420"
V0N,"71,423"
V0P,"7,335"
V0R,"72,310"
V0S,366
V0T,"9,032"
V0V,"1,894"
V0W,503
V0X,"22,683"
V1A,"9,024"
V1B,"23,425"
V1C,"26,195"
V1E,"21,397"
V1G,"15,116"
V1H,"14,999"
V1J,"24,491"
V1K,"9,352"
V1L,"17,641"
V1M,"31,417"
V1N,"13,357"
V1P,"9,656"
V1R,"10,295"
V1S,"13,262"
V1T,"30,436"
V1V,"26,732"
V1W,"38,374"
V1X,"35,151"
V1Y,"39,050"
V1Z,"16,552"
V2A,"40,489"
V2B,"41,642"
V2C,"27,038"
V2E,"15,962"
V2G,"18,200"
V2H,"7,060"
V2J,"22,680"
V2K,"21,556"
V2L,"10,101"
V2M,"23,763"
V2N,"33,870"
V2P,"39,075"
V2R,"55,505"
V2S,"52,492"
V2T,"60,078"
V2V,"36,155"
V2W,"23,673"
V2X,"50,279"
V2Y,"46,971"
V2Z,"16,209"
V3A,"46,299"
V3B,"61,396"
V3C,"39,448"
V3E,"42,030"
V3G,"26,939"
V3H,"37,339"
V3J,"44,558"
V3K,"31,181"
V3L,"30,988"
V3M,"47,927"
V3N,"41,405"
V3R,"61,436"
V3S,"104,997"
V3T,"45,514"
V3V,"50,873"
V3W,"95,970"
V3X,"33,054"
V3Y,"19,414"
V3Z,"38,837"
V4A,"38,036"
V4B,"21,828"
V4C,"48,434"
V4E,"12,280"
V4G,72
V4K,"25,193"
V4L,"7,874"
V4M,"16,805"
V4N,"86,011"
V4P,"13,950"
V4R,"17,038"
V4S,"7,922"
V4T,"31,700"
V4V,"17,726"
V4W,"21,246"
V4X,"14,365"
V4Z,"5,777"
V5A,"25,403"
V5B,"22,577"
V5C,"37,684"
V5E,"26,843"
V5G,"20,137"
V5H,"41,948"
V5J,"23,190"
V5K,"23,431"
V5L,"19,473"
V5M,"23,412"
V5N,"35,843"
V5P,"31,624"
V5R,"48,150"
V5S,"32,940"
V5T,"26,340"
V5V,"24,288"
V5W,"20,828"
V5X,"31,095"
V5Y,"19,032"
V5Z,"24,957"
V6A,"21,062"
V6B,"32,375"
V6C,"2,846"
V6E,"27,482"
V6G,"28,013"
V6H,"17,742"
V6J,"23,044"
V6K,"27,146"
V6L,"10,563"
V6M,"16,421"
V6N,"14,258"
V6P,"33,079"
V6R,"19,170"
V6S,"15,711"
V6T,"12,048"
V6V,"11,096"
V6W,"2,439"
V6X,"41,321"
V6Y,"49,221"
V6Z,"20,683"
V7A,"26,533"
V7B,820
V7C,"40,708"
V7E,"37,803"
V7G,"11,851"
V7H,"12,430"
V7J,"17,865"
V7K,"12,586"
V7L,"29,248"
V7M,"23,086"
V7N,"15,150"
V7P,"13,710"
V7R,"15,585"
V7S,"11,141"
V7T,"9,891"
V7V,"15,241"
V7W,"8,698"
V7Z,203
V8A,"19,133"
V8B,"17,677"
V8C,"8,236"
V8E,"13,788"
V8G,"19,606"
V8J,"12,344"
V8K,"11,635"
V8L,"25,107"
V8M,"16,687"
V8N,"26,049"
V8P,"18,418"
V8R,"24,074"
V8S,"17,294"
V8T,"21,343"
V8V,"28,430"
V8W,"6,459"
V8X,"24,227"
V8Y,"10,134"
V8Z,"32,137"
V9A,"39,759"
V9B,"53,952"
V9C,"27,886"
V9E,"5,341"
V9G,"15,885"
V9H,"10,137"
V9J,"9,385"
V9K,"16,688"
V9L,"36,520"
V9M,"18,470"
V9N,"32,956"
V9P,"27,708"
V9R,"31,992"
V9S,"17,977"
V9T,"36,952"
V9V,"11,300"
V9W,"30,783"
V9X,"11,345"
V9Y,"26,445"
V9Z,"20,131"
X0A,"19,355"
X0B,"6,476"
X0C,"11,027"
X0E,"19,798"
X0G,468
X1A,"20,804"
Y0A,"1,657"
Y0B,"7,481"
Y1A,"31,094"
,
,
,
,
Footnotes:,
1,"Forward Sortation Area (FSA©)
The counts for Forward Sortation Area (FSA©) codes are based on the first three characters of the postal codesOM collected from 2021 Census questionnaires. The first character of a postal codeOM corresponds to a province, a territory, or a region within a province (Dictionary, Census of Population, 2021 Table 1.9).
The postal codeOM is captured for all households from the address information provided or confirmed by the respondent on the 2021 Census questionnaire. The same postal codeOM was assigned to all members of a given household to enable the compilation of various census data.
The reported postal codesOM are then processed and validated according to specific criteria. Postal codesOM were determined to be applicable for the 2021 Census if they appeared as active records as per Canada Post Corporation (CPC) in May 2021, the month of the Census. However, postal codesOM provided by the respondents were considered acceptable if they were found in the file from CPC within the six months leading up to the Census. This is consistent with the effort to represent the postal codesOM whenever they could be considered as being active and in use at the time of the Census. In cases where a postal codeOM was not provided or was invalid, an imputation process assigned a valid postal codeOM. At the end of this process, a postal code is associated with each census household.
The postal codeOM provided by respondents may not be the same as the postal codeOM of their dwelling. For example, they may denote the postal codeOM of their mailing address, such as a post office location (as in the case of general delivery) or a business location. Consequently, some respondents' postal codesOM may fall outside the FSA© in which their dwelling is located.
While these processes allow census respondents to provide postal codesOM of any category (for instance, a commercial postal codeOM or a large volume receiver postal codeOM), analysis of census results has shown that this occurs only for a small number of households. If an FSA© is not represented by postal codesOM reported on census questionnaires, it is not included in census products or the Census Forward Sortation Area©Boundary File, 2021 Census. Where a postal codeOM is not frequently reported in a dissemination area, it may not be represented in the 2021 Census Forward Sortation Area© Boundary File which is built from dissemination areas. As a result, whereas 1,646 FSAs© were reported in the 2021 Census, only 1,643 are represented in the boundary file.
All households that provided a postal codeOM with the same FSA© were grouped to calculate FSA© totals in census products. Users should proceed with caution if FSAs© or postal codesOM are used as a proxy for standard geographic areas. Forward Sortation Areas© and postal codesOM do not necessarily respect the boundaries of standard geographic areas (Standard Geographical Classification (SGC) 2021).
© This data includes information copied with permission from Canada Post Corporation.
OM: Postal code is an official mark of Canada Post Corporation."
2,Excludes census data for one or more incompletely enumerated reserves or settlements.
,
,
,
How to cite: Statistics Canada. Table 98-10-0019-01  Population and dwelling counts: Canada and forward sortation areas ©,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810001901,
